date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:58	107/107	---M--	200	added ('OK')	image/png	etag:%22e03bd35e5d2aee9d765774fcd7243759%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/img/padrao-rodape.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/img/padrao-rodape.png	(from https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/all.min.css?v=b683f5a)
11:16:58	723/723	---M--	200	added ('OK')	image/gif	etag:%220e571ae0481026e692e6aa01ffc22283%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/img/ajax-loader.gif	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/img/ajax-loader.gif	(from https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/all.min.css?v=b683f5a)
11:16:58	19127/19127	---M--	200	added ('OK')	image/png	etag:%221d9906ccf90610271b5eaab82502bbe1%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/img/bandeiras/icone-pagamento.png?v4	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/img/bandeiras/icone-pagamento5ed3.png	(from https://cdn.awsli.com.br/production/static/loja/estrutura/v1/css/all.min.css?v=b683f5a)
11:16:59	1208/1208	---M--	200	added ('OK')	image/png	etag:%224116e02e6a2430ce92277ccc41ea95c9%22	https://cdn.awsli.com.br/production/static/img/fancybox_sprite.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/img/fancybox_sprite.png	(from https://cdn.awsli.com.br/production/static/css/jquery.fancybox.min.css)
11:16:59	3866/3866	---M--	200	added ('OK')	image/gif	etag:%22c6f1ad4957e50b83bb27691df8bc3f41%22	https://cdn.awsli.com.br/production/static/img/fancybox_loading.gif	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/img/fancybox_loading.gif	(from https://cdn.awsli.com.br/production/static/css/jquery.fancybox.min.css)
11:16:59	43/43	---M--	200	added ('OK')	image/gif	etag:%22325472601571f31e1bf00674c368d335%22	https://cdn.awsli.com.br/production/static/img/blank.gif	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/img/blank.gif	(from https://cdn.awsli.com.br/production/static/css/jquery.fancybox.min.css)
11:16:59	96/96	---M--	200	added ('OK')	image/png	etag:%223c9e8f58928451d720367a0a2a36b51c%22	https://cdn.awsli.com.br/production/static/img/fancybox_overlay.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/img/fancybox_overlay.png	(from https://cdn.awsli.com.br/production/static/css/jquery.fancybox.min.css)
11:17:00	669/669	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Jan%202023%2014:17:00%20GMT	https://rennaker.lojaintegrada.com.br/owl.video.play.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/owl.video.play.png	(from https://rennaker.lojaintegrada.com.br/avancado.css?v=20230123-164524)
11:17:00	2293/2293	---M--	200	added ('OK')	image/png	etag:%223fb0ea9d85bfd6c31f832d45651a2bfa%22	https://cdn.awsli.com.br/2384/2384881/arquivos/Logo%20Digita%20Nerd.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/2384/2384881/arquivos/Logo%20Digita%20Nerd.png	(from https://rennaker.lojaintegrada.com.br/avancado.css?v=20230123-164524)
11:17:01	669/669	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Jan%202023%2014:17:01%20GMT	https://rennaker.lojaintegrada.com.br/carrinho/jquery.php	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/carrinho/jquery.php	(from https://rennaker.lojaintegrada.com.br/carrinho/index)
11:17:01	669/669	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Jan%202023%2014:17:01%20GMT	https://rennaker.lojaintegrada.com.br/jquery.php	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/jquery.php	(from https://rennaker.lojaintegrada.com.br/carrinho/index)
11:17:02	45333/45333	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2027%20Jan%202023%2014:17:02%20GMT	https://rennaker.lojaintegrada.com.br/carrinho/performa.ai	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/carrinho/performa.ai	(from https://rennaker.lojaintegrada.com.br/carrinho/index)
11:17:02	4877/4877	---MCZ	200	added ('OK')	application/javascript	etag:W/%220614ae4fd8488292e590c87291db0b48%22	https://cdn.awsli.com.br/production/static/loja/estrutura/v1/js/carrinho.min.js?v=b683f5a	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/production/static/loja/estrutura/v1/js/carrinho.min4545.js	(from https://rennaker.lojaintegrada.com.br/carrinho/index)
